id,product_name,category,sub_category,price,profit,stock,created_time,modified_time
1,iPhone 15 Pro,Electronics,Smartphones,15000000,5,10,2025-08-13,
2,Samsung Galaxy S23,Electronics,Smartphones,20000000,5,5,2025-08-13,
3,MacBook Pro M3,Electronics,Laptops,22000000,5,20,2025-08-13,
4,Asus Zenbook Flip,Electronics,Laptops,11000000,5,20,2025-08-13,
5,Asus ROG Zephyrus G14,Electronics,Laptops,15000000,5,30,2025-08-13,
6,JBL Flip 6,Electronics,Speakers,3000000,10,100,2025-08-13,
7,Logitech MX Master 3,Electronics,Accessories,1700000,10,200,2025-08-13,
8,Air Jordan 1 Retro High Dior,Apparel,Footwear,125000000,2,5,2025-08-13,
9,Adidas Ultraboost,Apparel,Footwear,3000000,10,20,2025-08-13,
10,versace chain contour,Apparel,Clothing,2700000,10,20,2025-08-13,
11,Rolex Submariner,Fashion,Watches,150000000,2,5,2025-08-13,
12,Fossil Leather Wallet,Fashion,Accessories,1000000,5,10,2025-08-13,
13,"Samsung 65"" Smart TV",Home Appliances,Televisions,10000000,5,40,2025-08-13,
14,Dyson V15 Vacuum,Home Appliances,Cleaning Devices,2000000,10,200,2025-08-13,
15,Philips Air Fryer,Home Appliances,Kitchen Appliances,700000,10,200,2025-08-13,
16,iPhone 16 Pro,Electronics,Smartphones,25000000,5,200,2025-08-13,
17,MacBook Pro M4,Electronics,Smartphones,40000000,5,200,2025-08-13,
